INFO  | 2023-03-19 07:10:25 | [http-nio-8090-exec-3] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call findByUsername() method is 2 ms
INFO  | 2023-03-19 07:10:38 | [http-nio-8090-exec-4] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call findByUsername() method is 4 ms
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin (SpringApplicationAdminMXBeanRegistrar.java:159) - Application shutdown requested.
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] logging.DirectJDKLog (DirectJDKLog.java:173) - Pausing ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] logging.DirectJDKLog (DirectJDKLog.java:173) - Stopping service [Tomcat]
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] logging.DirectJDKLog (DirectJDKLog.java:173) - Destroying Spring FrameworkServlet 'dispatcherServlet'
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] logging.DirectJDKLog (DirectJDKLog.java:173) - Stopping ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] logging.DirectJDKLog (DirectJDKLog.java:173) - Destroying ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:651) - Closing JPA EntityManagerFactory for persistence unit 'default'
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] hikari.HikariDataSource (HikariDataSource.java:350) - HikariPool-2 - Shutdown initiated...
INFO  | 2023-03-19 07:10:50 | [RMI TCP Connection(2)-127.0.0.1] hikari.HikariDataSource (HikariDataSource.java:352) - HikariPool-2 - Shutdown completed.
INFO  | 2023-03-19 07:14:42 | [background-preinit] util.Version (Version.java:21) - HV000001: Hibernate Validator 6.2.5.Final
INFO  | 2023-03-19 07:14:42 | [restartedMain] boot.StartupInfoLogger (StartupInfoLogger.java:55) - Starting DemoApplication using Java 11.0.1 on raj-ThinkPad-E15-Gen-4 with PID 23565 (/home/raj/Documents/edu_feb_march_23/boot/05_bankapp_sec_db2/target/classes started by raj in /home/raj/Documents/edu_feb_march_23/boot/05_bankapp_sec_db2)
INFO  | 2023-03-19 07:14:42 | [restartedMain] boot.SpringApplication (SpringApplication.java:631) - No active profile set, falling back to 1 default profile: "default"
INFO  | 2023-03-19 07:14:42 | [restartedMain] logging.DeferredLog (DeferredLog.java:255) - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
INFO  | 2023-03-19 07:14:42 | [restartedMain] logging.DeferredLog (DeferredLog.java:255) - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
INFO  | 2023-03-19 07:14:43 | [restartedMain] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:132) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
INFO  | 2023-03-19 07:14:43 | [restartedMain] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:201) - Finished Spring Data repository scanning in 46 ms. Found 2 JPA repository interfaces.
INFO  | 2023-03-19 07:14:43 | [restartedMain] tomcat.TomcatWebServer (TomcatWebServer.java:108) - Tomcat initialized with port(s): 8090 (http)
INFO  | 2023-03-19 07:14:43 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:14:43 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting service [Tomcat]
INFO  | 2023-03-19 07:14:43 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting Servlet engine: [Apache Tomcat/9.0.71]
INFO  | 2023-03-19 07:14:43 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring embedded WebApplicationContext
INFO  | 2023-03-19 07:14:43 | [restartedMain] context.ServletWebServerApplicationContext (ServletWebServerApplicationContext.java:292) - Root WebApplicationContext: initialization completed in 1136 ms
INFO  | 2023-03-19 07:14:44 | [restartedMain] util.LogHelper (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: default]
INFO  | 2023-03-19 07:14:44 | [restartedMain] hibernate.Version (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
INFO  | 2023-03-19 07:14:44 | [restartedMain] java.JavaReflectionManager (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
INFO  | 2023-03-19 07:14:44 | [restartedMain] hikari.HikariDataSource (HikariDataSource.java:110) - HikariPool-1 - Starting...
INFO  | 2023-03-19 07:14:44 | [restartedMain] hikari.HikariDataSource (HikariDataSource.java:123) - HikariPool-1 - Start completed.
INFO  | 2023-03-19 07:14:44 | [restartedMain] dialect.Dialect (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
INFO  | 2023-03-19 07:14:44 | [restartedMain] internal.JtaPlatformInitiator (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
INFO  | 2023-03-19 07:14:44 | [restartedMain] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
WARN  | 2023-03-19 07:14:45 | [restartedMain] jpa.JpaBaseConfiguration$JpaWebConfiguration (JpaBaseConfiguration.java:223) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
INFO  | 2023-03-19 07:14:45 | [restartedMain] web.DefaultSecurityFilterChain (DefaultSecurityFilterChain.java:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1033cc6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@600ee3f6, org.springframework.security.web.context.SecurityContextPersistenceFilter@3ec962b9, org.springframework.security.web.header.HeaderWriterFilter@1942cfb8, org.springframework.security.web.authentication.logout.LogoutFilter@141f828c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5b291216, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6cbecb41, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2afa7baa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b8a5d21, org.springframework.security.web.session.SessionManagementFilter@1b5383a1, org.springframework.security.web.access.ExceptionTranslationFilter@77f1a2d0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@546a90fa]
INFO  | 2023-03-19 07:14:46 | [restartedMain] autoconfigure.OptionalLiveReloadServer (OptionalLiveReloadServer.java:59) - LiveReload server is running on port 35729
INFO  | 2023-03-19 07:14:46 | [restartedMain] web.EndpointLinksResolver (EndpointLinksResolver.java:58) - Exposing 1 endpoint(s) beneath base path '/actuator'
